label,socre,x1,y1,x2,y2
1,0.9994941,692.17737,61.195904,845.82184,230.33943
2,0.9947583,863.2835,486.5236,1017.11505,611.24976
2,0.9875566,94.4635,227.46094,251.00214,361.3269
2,0.9828693,473.67508,84.322044,560.0304,177.87396
1,0.9779288,527.7969,243.72552,646.30457,363.88712
2,0.9773933,149.36699,526.19214,286.79703,655.9917
2,0.9747898,753.50226,645.365,843.8532,736.0046
2,0.9715308,326.9547,11.027537,396.9468,103.99066
2,0.91733456,349.91983,378.45053,469.8456,506.8895
2,0.8940948,555.3354,503.04068,654.46155,605.37994
