label,socre,x1,y1,x2,y2
2,0.99809664,481.7016,491.9395,596.88086,594.8593
2,0.99743384,751.6645,219.1513,841.7486,318.871
1,0.996114,765.3817,407.68683,888.6346,549.9156
1,0.9954053,28.407995,565.5351,182.59259,701.8142
2,0.98549193,339.60934,290.45346,454.61914,390.04507
2,0.9655001,809.06586,108.01546,919.90857,204.8034
2,0.965111,675.455,561.15796,766.6885,660.95013
2,0.9474093,473.59784,28.96957,591.1688,184.87398
2,0.9326786,255.04907,167.38387,357.5367,271.43118
1,0.8868685,208.06258,427.62198,316.63556,564.60547
1,0.80127853,520.2866,283.32764,603.2274,374.76663
